x,y
-10,-10
-9.591836735,-9.012482057
-9.183673469,-8.526387986
-8.775510204,-8.577787473
-8.367346939,-7.52863265
-7.959183673,-6.555132817
-7.551020408,-4.664834507
-7.142857143,-5.96827933
-6.734693878,-5.477143487
-6.326530612,-5.400976528
-5.918367347,-6.837138562
-5.510204082,-4.536717957
-5.102040816,-4.041810606
-4.693877551,-1.230635439
-4.285714286,-3.47807525
-3.87755102,-2.576003678
-3.469387755,-2.504099525
-3.06122449,-3.229902527
-2.653061224,-0.51023841
-2.244897959,-0.492964926
-1.836734694,-0.045702747
-1.428571429,-1.337958883
-1.020408163,1.382386148
-0.612244898,-1.014095961
-0.204081633,1.382775461
0.204081633,3.394537258
0.612244898,0.621708573
1.020408163,1.454110434
1.428571429,2.528222794
1.836734694,2.33325904
2.244897959,1.694234528
2.653061224,3.721624199
3.06122449,4.696384263
3.469387755,5.24710056
3.87755102,4.904089048
4.285714286,6.708223565
4.693877551,7.062515052
5.102040816,7.24786315
5.510204082,7.629635103
5.918367347,7.052569614
6.326530612,7.522276978
6.734693878,7.874992431
7.142857143,7.026526959
7.551020408,7.587609728
7.959183673,7.63149559
8.367346939,7.807531611
8.775510204,7.219728983
9.183673469,7.211077445
9.591836735,7.778933144
10,7.725459038
