x,y
7.996013679,0.035783119
8.724185897,0.263495433
7.975601764,1.242155781
7.427655905,1.665881569
8.510227328,2.508289069
7.877907152,2.217127756
6.91958881,2.810058954
7.143447081,2.916852475
6.572644314,3.631882763
6.063223539,4.475264606
6.935224729,5.080776327
7.118814262,4.638309256
5.132465232,5.911179807
5.757861466,6.509567949
4.774070633,6.370823394
4.458719326,7.410533861
3.990417398,6.367728804
3.422034008,6.388126089
3.430495146,6.349256295
2.529521363,8.186234043
2.607364368,7.935634959
1.964400043,7.720872954
1.379576493,7.998282319
0.548884037,7.374173087
0.213938491,9.207089817
0.377695613,8.064610591
-0.251865562,8.038911225
-1.491443491,8.299800922
-1.449384364,8.098802622
-1.613825536,7.860607301
-3.306838596,7.213214903
-2.673316325,7.673946066
-3.737546212,8.179628668
-3.568730059,7.683163463
-4.668243938,7.551216717
-5.604723069,6.216528117
-5.913163137,5.669303532
-5.452334374,5.768855559
-5.701887769,5.504239304
-6.616264255,5.646487677
-6.152839726,3.856049703
-7.585383435,5.05138952
-7.04349334,3.775025444
-7.84412452,3.192793798
-7.764129941,2.438944234
-7.584752795,1.644707619
-8.178871972,2.401104389
-8.050575778,1.5357095
-7.433771206,0.357685419
-8.272659762,-0.14521523
-7.582153944,-0.16789235
-8.549067255,0.332186606
-7.672015522,-1.132461544
-7.137513696,-2.250621993
-8.984487539,-2.112390629
-8.006899758,-2.60849774
-7.149675824,-4.293439743
-7.340139113,-3.433381766
-6.824880504,-3.969496658
-7.056615997,-3.938511177
-6.428841061,-3.777803971
-6.24194456,-4.536109403
-5.247857989,-5.610821193
-5.349166426,-6.385011974
-4.930590587,-4.877426041
-4.908220501,-6.442526738
-4.530417472,-6.747658758
-4.070308487,-7.022515984
-3.209008261,-7.139574039
-3.155488662,-7.510392093
-2.327248527,-7.895283134
-0.951818698,-8.02209476
-1.063488165,-7.874674641
-1.165677635,-8.208629996
0.098282805,-8.340636719
-0.204037687,-7.946784886
-0.516738111,-8.111702436
0.498622713,-7.184921116
0.563654556,-9.18378291
1.813762355,-7.202911863
2.481345145,-6.985409534
3.783215078,-8.474907003
3.569698019,-7.409960217
3.744479128,-7.196173873
4.70131715,-7.458379251
3.596714364,-6.861044299
5.217199197,-6.719393865
5.861809444,-4.955613798
5.092455896,-5.008537651
6.735982964,-4.46361437
6.641384159,-4.341445986
6.546979447,-4.851140245
7.326844373,-4.116289526
8.373962849,-3.161547052
7.529145015,-3.556060326
7.732562424,-2.11563674
7.518984839,-2.109681796
7.433375821,-1.68646092
8.352085519,-0.647185884
7.556171914,-0.2801925
