x,y
7.550792664,0.192032724
8.182877196,0.986318494
7.088548686,0.955798047
8.35394127,2.900436402
7.600173501,3.201794643
6.237548129,5.037118293
4.975181755,5.65967597
5.776328105,5.694166049
4.229344437,6.497689945
4.025142489,6.709009659
1.674922126,7.577112582
1.199363005,8.335869166
0.504946006,7.491350804
-0.478833859,8.236237085
-1.724083252,7.593169197
-2.160710989,7.212015714
-3.940044547,7.18510124
-4.357804102,6.237002243
-5.039244102,5.88728129
-5.574529602,4.877437901
-6.116328516,5.684644585
-7.572774486,3.871661169
-8.205268972,2.595133667
-7.109826878,2.096509053
-7.770760605,0.946501844
-8.374243268,-0.1104848
-7.161341623,-0.695582518
-7.690827972,-1.610765242
-6.848563295,-3.210246995
-6.9766942,-4.141938513
-5.441761993,-4.839807867
-4.954078598,-6.62733743
-5.223873992,-6.921701473
-3.800828884,-6.07118627
-3.083546358,-6.416132563
-1.787820176,-7.73297015
-1.981512247,-7.570019524
-0.159298426,-7.82858875
1.0315364,-6.444773423
0.619680773,-7.29851055
1.880506699,-7.672410926
2.386618244,-7.71638664
4.151910943,-7.557846564
5.458163046,-6.062374124
6.582927545,-5.85455222
6.509183345,-5.413408873
7.824761213,-4.177315835
6.748161158,-3.485770423
6.896974069,-1.14594828
7.909143761,-0.56184599
