x,y
8.155453783,0.012255087
8.346130239,2.721135101
6.900965767,5.427853822
4.622312753,6.951771368
2.462627851,8.685043359
-0.501264682,7.616326219
-2.481392523,8.044612449
-4.846611338,6.563806958
-6.310776675,5.797183485
-8.022067602,2.067986812
-7.740326743,-0.419860921
-6.842082674,-2.771832278
-6.526516029,-5.76422988
-4.501426157,-6.735013466
-2.127063959,-7.988018461
-0.200610236,-7.924803107
2.584182196,-7.437574142
4.708578219,-5.534050535
6.520974004,-4.227070099
7.221947238,-2.760587783
