x,y
-10,-7.006571694
-9.591836735,-7.94999799
-9.183673469,-6.051561699
-8.775510204,-3.97434845
-8.367346939,-7.1621843
-7.959183673,-6.835620853
-7.551020408,-2.882390696
-7.142857143,-4.179416256
-6.734693878,-6.326703874
-6.326530612,-3.976104403
-5.918367347,-5.661529263
-5.510204082,-5.339622772
-5.102040816,-3.59770811
-4.693877551,-7.58166253
-4.285714286,-6.878407094
-3.87755102,-4.226615875
-3.469387755,-4.801172445
-3.06122449,-1.820484927
-2.653061224,-3.938497131
-2.244897959,-4.62052577
-1.836734694,1.461909783
-1.428571429,-1.594409744
-1.020408163,-0.681270121
-0.612244898,-3.339292291
-0.204081633,-1.252030755
0.204081633,0.385110486
0.612244898,-1.812191236
1.020408163,1.567722567
1.428571429,-0.058420237
1.836734694,0.886000256
2.244897959,0.592505143
2.653061224,5.827005349
3.06122449,2.421985142
3.469387755,0.660088346
3.87755102,4.747130641
4.285714286,0.986884129
4.693877551,4.172829231
5.102040816,0.162292405
5.510204082,1.751791168
5.918367347,5.128416349
6.326530612,6.53815765
6.734693878,5.730491664
7.142857143,5.48298915
7.551020408,5.438608935
7.959183673,3.410302958
8.367346939,5.254189134
8.775510204,6.099130621
9.183673469,9.461183228
9.591836735,8.360705967
10,4.473919689
